Time,W,A,C,S,Temperature
2.110000,0.002099,0.000667,2.249794,0.000213,29.644532
2.120000,0.002101,0.000667,2.248950,0.000211,29.646817
2.130000,0.002103,0.000667,2.248108,0.000210,29.649091
2.140000,0.002105,0.000668,2.247266,0.000208,29.651352
2.150000,0.002107,0.000668,2.246425,0.000206,29.653600
2.160000,0.002109,0.000668,2.245585,0.000204,29.655837
2.170000,0.002111,0.000669,2.244746,0.000202,29.658060
2.180000,0.002113,0.000669,2.243908,0.000200,29.660272
2.190000,0.002116,0.000669,2.243070,0.000198,29.662471
2.200000,0.002118,0.000670,2.242234,0.000196,29.664657
2.210000,0.002120,0.000670,2.241398,0.000195,29.666831
2.220000,0.002122,0.000670,2.240563,0.000193,29.668993
2.230000,0.002124,0.000671,2.239730,0.000191,29.671142
2.240000,0.002126,0.000671,2.238897,0.000189,29.673278
2.250000,0.002128,0.000671,2.238064,0.000188,29.675401
2.260000,0.002130,0.000672,2.237233,0.000186,29.677512
2.270000,0.002133,0.000672,2.236403,0.000184,29.679610
2.280000,0.002135,0.000672,2.235573,0.000182,29.681696
2.290000,0.002137,0.000673,2.234745,0.000181,29.683769
2.300000,0.002139,0.000673,2.233917,0.000179,29.685829
2.310000,0.002141,0.000673,2.233090,0.000177,29.687876
2.320000,0.002143,0.000674,2.232264,0.000176,29.689910
2.330000,0.002145,0.000674,2.231439,0.000174,29.691932
2.340000,0.002147,0.000674,2.230614,0.000173,29.693940
2.350000,0.002150,0.000675,2.229791,0.000171,29.695936
2.360000,0.002152,0.000675,2.228968,0.000170,29.697919
2.370000,0.002154,0.000675,2.228146,0.000168,29.699889
2.380000,0.002156,0.000676,2.227325,0.000166,29.701846
2.390000,0.002158,0.000676,2.226505,0.000165,29.703790
2.400000,0.002160,0.000676,2.225686,0.000163,29.705721
2.410000,0.002163,0.000677,2.224868,0.000162,29.707638
2.420000,0.002165,0.000677,2.224050,0.000160,29.709543
2.430000,0.002167,0.000677,2.223233,0.000159,29.711435
2.440000,0.002169,0.000678,2.222417,0.000157,29.713314
2.450000,0.002171,0.000678,2.221602,0.000156,29.715179
2.460000,0.002173,0.000678,2.220788,0.000155,29.717031
2.470000,0.002176,0.000679,2.219975,0.000153,29.718871
2.480000,0.002178,0.000679,2.219162,0.000152,29.720697
2.490000,0.002180,0.000680,2.218351,0.000150,29.722509
2.500000,0.002182,0.000680,2.217540,0.000149,29.724309
2.510000,0.002184,0.000680,2.216730,0.000148,29.726095
2.520000,0.002186,0.000681,2.215921,0.000146,29.727869
2.530000,0.002189,0.000681,2.215112,0.000145,29.729628
2.540000,0.002191,0.000681,2.214305,0.000144,29.731375
2.550000,0.002193,0.000682,2.213498,0.000142,29.733108
2.560000,0.002195,0.000682,2.212692,0.000141,29.734828
2.570000,0.002197,0.000682,2.211887,0.000140,29.736534
2.580000,0.002200,0.000683,2.211083,0.000138,29.738228
2.590000,0.002202,0.000683,2.210280,0.000137,29.739907
2.600000,0.002204,0.000683,2.209477,0.000136,29.741574
2.610000,0.002206,0.000684,2.208676,0.000135,29.743227
2.620000,0.002208,0.000684,2.207875,0.000133,29.744866
2.630000,0.002211,0.000684,2.207075,0.000132,29.746492
2.640000,0.002213,0.000685,2.206276,0.000131,29.748105
2.650000,0.002215,0.000685,2.205477,0.000130,29.749704
2.660000,0.002217,0.000685,2.204680,0.000129,29.751290
2.670000,0.002219,0.000686,2.203883,0.000127,29.752862
2.680000,0.002222,0.000686,2.203087,0.000126,29.754421
2.690000,0.002224,0.000686,2.202292,0.000125,29.755966
2.700000,0.002226,0.000687,2.201497,0.000124,29.757498
